Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Score,CLTV,Churn,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
1,0,0,0,-1.2395040756535771,1,1,-0.3639232943754246,-0.9596491092068434,1.2672997958068408,-0.9831814487903576,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,-1.2395040756535771,1,1,0.19617817640187488,-0.94045745447498,0.38480164022867486,-1.4382150807216563,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,-0.9950403079957154,1,1,1.1584890119510036,-0.645369218442638,1.2672997958068408,0.8208831179558507,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,-0.18016108246950976,1,1,1.3296772953043026,0.336515544511356,1.1744052531144022,0.5087875599955362,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0.6754621043330061,1,1,1.2931128075977727,1.214588896927247,1.4066416098454986,0.7938179205175578,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0,1,0,-0.9135523854430948,1,0,-0.3190486958265014,-0.7742621363716934,0.8957216250370867,1.2886035611863491,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,0,0,-1.2802480369298874,0,1,-0.8359375902233565,-0.9898704505662146,1.9175615946539106,0.8724761505725964,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.2802480369298874,1,0,-1.4841262359300234,-0.9984736061356706,1.5459834238841565,0.3641579111846587,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,1,0.5939741817803856,1,1,1.1485168789401314,1.087901916323693,0.8492743536908675,1.1735764720736044,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,-1.2802480369298874,0,0,-1.150059780065818,-0.9940396721114126,1.7782197806152529,-1.2572165728530729,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
